Date,Action,Shares,Price
2024-01-02,Buy,41,238.4499969482422
2024-01-07,Sell,41,240.4499969482422
2024-01-10,Buy,44,227.22000122070312
2024-01-11,Sell,44,218.88999938964844
2024-03-19,Buy,55,175.66000366210938
2024-03-25,Sell,55,177.6699981689453
2024-03-27,Buy,55,175.7899932861328
2024-04-01,Sell,55,166.6300048828125
2024-04-29,Buy,50,183.27999877929688
2024-04-30,Sell,50,179.99000549316406
2024-05-13,Buy,51,177.5500030517578
2024-05-14,Sell,51,173.99000549316406
2024-06-24,Buy,47,187.3500061035156
2024-06-25,Sell,47,196.3699951171875
2024-06-30,Buy,44,209.8600006103516
2024-07-01,Sell,44,231.259994506836
2024-07-02,Buy,41,246.38999938964844
2024-07-07,Sell,41,252.94000244140625
2024-07-10,Buy,44,241.02999877929688
2024-07-17,Sell,44,249.22999572753903
2024-08-11,Buy,55,197.4900054931641
2024-08-12,Sell,55,207.8300018310547
2024-09-05,Buy,54,210.72999572753903
2024-09-11,Sell,54,229.8099975585937
2024-09-19,Buy,52,238.25
2024-09-22,Sell,52,250.0
2024-09-30,Buy,51,258.0199890136719
2024-10-02,Sell,51,240.6600036621093
2024-11-07,Buy,38,321.2200012207031
2024-11-13,Sell,38,311.17999267578125
2024-11-20,Buy,35,339.6400146484375
